English,Hindi,Kaithi
The reason which he gave is hard to understand,उसके दिए गए कारण को समझना मुश्किल है।,𑂇𑂮𑂍𑂵 𑂠𑂱𑂉 𑂏𑂉 𑂍𑂰𑂩𑂝 𑂍𑂷 𑂮𑂧𑂕𑂢𑂰 𑂧𑂳𑂬𑂹𑂍𑂱𑂪 𑂯𑂶।
The station is located between these two towns,स्टेशन इन दो नगरों के बीच स्थित है।,𑂮𑂹𑂗𑂵𑂬𑂢 𑂅𑂢 𑂠𑂷 𑂢𑂏𑂩𑂷𑂁 𑂍𑂵 𑂥𑂲𑂒 𑂮𑂹𑂟𑂱𑂞 𑂯𑂶।
There are lots of things for us to think about,हमारे पास सोचने के लिए बहुत सारी बातें हैं।,𑂯𑂧𑂰𑂩𑂵 𑂣𑂰𑂮 𑂮𑂷𑂒𑂢𑂵 𑂍𑂵 𑂪𑂱𑂉 𑂥𑂯𑂳𑂞 𑂮𑂰𑂩𑂲 𑂥𑂰𑂞𑂵𑂁 𑂯𑂶𑂁।
These grapes are so sour that I can't eat them,ये अंगूर इतने खट्टे हैं कि मुझसे खाए नहीं जा रहे।,𑂨𑂵 𑂃𑂁𑂏𑂴𑂩 𑂅𑂞𑂢𑂵 𑂎𑂗𑂹𑂗𑂵 𑂯𑂶𑂁 𑂍𑂱 𑂧𑂳𑂕𑂮𑂵 𑂎𑂰𑂉 𑂢𑂯𑂲𑂁 𑂔𑂰 𑂩𑂯𑂵।
They booted him out of school for not studying,"कयोंकि वह पढ़ाई नहीं करता था, उसे स्कूल से निकाल दिया गया।","𑂍𑂨𑂷𑂁𑂍𑂱 𑂫𑂯 𑂣𑂛़𑂰𑂆 𑂢𑂯𑂲𑂁 𑂍𑂩𑂞𑂰 𑂟𑂰, 𑂇𑂮𑂵 𑂮𑂹𑂍𑂴𑂪 𑂮𑂵 𑂢𑂱𑂍𑂰𑂪 𑂠𑂱𑂨𑂰 𑂏𑂨𑂰।"
Thousands of foreigners visit Japan every year,हज़ारों विदेशी हर साल जापान जाते हैं।,𑂯𑂔़𑂰𑂩𑂷𑂁 𑂫𑂱𑂠𑂵𑂬𑂲 𑂯𑂩 𑂮𑂰𑂪 𑂔𑂰𑂣𑂰𑂢 𑂔𑂰𑂞𑂵 𑂯𑂶𑂁।
Tom wants to know why you didn't call him back,टॉम पूछ रहा है कि तुमने उसे कॉल बैक क्यों नहीं किया।,𑂗ॉ𑂧 𑂣𑂴𑂓 𑂩𑂯𑂰 𑂯𑂶 𑂍𑂱 𑂞𑂳𑂧𑂢𑂵 𑂇𑂮𑂵 𑂍ॉ𑂪 𑂥𑂶𑂍 𑂍𑂹𑂨𑂷𑂁 𑂢𑂯𑂲𑂁 𑂍𑂱𑂨𑂰।
"We had no customers, so we shut the shop early","हमारे पास ग्राहक नहीं थे, तो हमने दुकान जल्दी बंद करदी।","𑂯𑂧𑂰𑂩𑂵 𑂣𑂰𑂮 𑂏𑂹𑂩𑂰𑂯𑂍 𑂢𑂯𑂲𑂁 𑂟𑂵, 𑂞𑂷 𑂯𑂧𑂢𑂵 𑂠𑂳𑂍𑂰𑂢 𑂔𑂪𑂹𑂠𑂲 𑂥𑂁𑂠 𑂍𑂩𑂠𑂲।"
We have some new products we'd like you to see,आपको कुछ नए प्रॉडक्ट्स दिखाना चाहते हैं।,𑂄𑂣𑂍𑂷 𑂍𑂳𑂓 𑂢𑂉 𑂣𑂹𑂩ॉ𑂙𑂍𑂹𑂗𑂹𑂮 𑂠𑂱𑂎𑂰𑂢𑂰 𑂒𑂰𑂯𑂞𑂵 𑂯𑂶𑂁।
We will have to call on our friends to help us,हमें अपने दोस्तों से मदद माँगनी पड़ेगी।,𑂯𑂧𑂵𑂁 𑂃𑂣𑂢𑂵 𑂠𑂷𑂮𑂹𑂞𑂷𑂁 𑂮𑂵 𑂧𑂠𑂠 𑂧𑂰𑂀𑂏𑂢𑂲 𑂣𑂙़𑂵𑂏𑂲।
When did America become independent of England,अम्रीका को इंग्लैंड से आज़ादी कब मिली?,𑂃𑂧𑂹𑂩𑂲𑂍𑂰 𑂍𑂷 𑂅𑂁𑂏𑂹𑂪𑂶𑂁𑂙 𑂮𑂵 𑂄𑂔़𑂰𑂠𑂲 𑂍𑂥 𑂧𑂱𑂪𑂲?
"While I was in Taiwan, I made friends with him",मैं जब ताईवान में था तब उसके साथ दोस्त बन गया।,𑂧𑂶𑂁 𑂔𑂥 𑂞𑂰𑂆𑂫𑂰𑂢 𑂧𑂵𑂁 𑂟𑂰 𑂞𑂥 𑂇𑂮𑂍𑂵 𑂮𑂰𑂟 𑂠𑂷𑂮𑂹𑂞 𑂥𑂢 𑂏𑂨𑂰।
Would you mind speaking a little softer please,आवाज़ थोड़ी धीमी कर सकते हो क्या?,𑂄𑂫𑂰𑂔़ 𑂟𑂷𑂙़𑂲 𑂡𑂲𑂧𑂲 𑂍𑂩 𑂮𑂍𑂞𑂵 𑂯𑂷 𑂍𑂹𑂨𑂰?
"Will they go on strike again ""I'm afraid so""","वे फिरसे हड़ताल कर सकते हैं क्या? ""लगता तो ऐसा ही है।""","𑂫𑂵 𑂤𑂱𑂩𑂮𑂵 𑂯𑂙़𑂞𑂰𑂪 𑂍𑂩 𑂮𑂍𑂞𑂵 𑂯𑂶𑂁 𑂍𑂹𑂨𑂰? ""𑂪𑂏𑂞𑂰 𑂞𑂷 𑂊𑂮𑂰 𑂯𑂲 𑂯𑂶।"""
An old man was resting in the shade of the tree,एक बूढ़ा आदमी पेड़ की छाया में आराम कर रहा था।,𑂉𑂍 𑂥𑂴𑂛़𑂰 𑂄𑂠𑂧𑂲 𑂣𑂵𑂙़ 𑂍𑂲 𑂓𑂰𑂨𑂰 𑂧𑂵𑂁 𑂄𑂩𑂰𑂧 𑂍𑂩 𑂩𑂯𑂰 𑂟𑂰।
Could you please speak a little bit more slowly,आप थोड़ा धीरे बोल सकते हैं क्या?,𑂄𑂣 𑂟𑂷𑂙़𑂰 𑂡𑂲𑂩𑂵 𑂥𑂷𑂪 𑂮𑂍𑂞𑂵 𑂯𑂶𑂁 𑂍𑂹𑂨𑂰?
Do you think he will be elected president again,क्या तुम्हे लगता है वह फिरसे प्रेसीडेंट चुना जाएगा?,𑂍𑂹𑂨𑂰 𑂞𑂳𑂧𑂹𑂯𑂵 𑂪𑂏𑂞𑂰 𑂯𑂶 𑂫𑂯 𑂤𑂱𑂩𑂮𑂵 𑂣𑂹𑂩𑂵𑂮𑂲𑂙𑂵𑂁𑂗 𑂒𑂳𑂢𑂰 𑂔𑂰𑂉𑂏𑂰?
"Frankly speaking, I don't want to work with him",खुलकर बोलूँ तो मैं उसके साथ काम नहीं करना चाहता।,𑂎𑂳𑂪𑂍𑂩 𑂥𑂷𑂪𑂴𑂀 𑂞𑂷 𑂧𑂶𑂁 𑂇𑂮𑂍𑂵 𑂮𑂰𑂟 𑂍𑂰𑂧 𑂢𑂯𑂲𑂁 𑂍𑂩𑂢𑂰 𑂒𑂰𑂯𑂞𑂰।
"He is a nice man, except that he talks too much","वह आदमी तो भला है, पर बात बहुत ज़्यादा करता है।","𑂫𑂯 𑂄𑂠𑂧𑂲 𑂞𑂷 𑂦𑂪𑂰 𑂯𑂶, 𑂣𑂩 𑂥𑂰𑂞 𑂥𑂯𑂳𑂞 𑂔़𑂹𑂨𑂰𑂠𑂰 𑂍𑂩𑂞𑂰 𑂯𑂶।"
He left his parents when he was eight years old,वह आठ साल का था जब उसने अपने माता-पिता को छोड़ दिया।,𑂫𑂯 𑂄𑂘 𑂮𑂰𑂪 𑂍𑂰 𑂟𑂰 𑂔𑂥 𑂇𑂮𑂢𑂵 𑂃𑂣𑂢𑂵 𑂧𑂰𑂞𑂰-𑂣𑂱𑂞𑂰 𑂍𑂷 𑂓𑂷𑂙़ 𑂠𑂱𑂨𑂰।
He reminded his wife to wake him up at 7:00 am,उसने अपनी पत्नी को उसे सुबह सात बजे उठाने की बात का याद दिलाया।,𑂇𑂮𑂢𑂵 𑂃𑂣𑂢𑂲 𑂣𑂞𑂹𑂢𑂲 𑂍𑂷 𑂇𑂮𑂵 𑂮𑂳𑂥𑂯 𑂮𑂰𑂞 𑂥𑂔𑂵 𑂇𑂘𑂰𑂢𑂵 𑂍𑂲 𑂥𑂰𑂞 𑂍𑂰 𑂨𑂰𑂠 𑂠𑂱𑂪𑂰𑂨𑂰।
He sent out the parcel the day before yesterday,उसने पार्सल को परसों भेजा था।,𑂇𑂮𑂢𑂵 𑂣𑂰𑂩𑂹𑂮𑂪 𑂍𑂷 𑂣𑂩𑂮𑂷𑂁 𑂦𑂵𑂔𑂰 𑂟𑂰।
He was respected both as a teacher and as a man,उसको दोनो एक अध्यापक और एक इनसान के रूप में सम्मान मिला।,𑂇𑂮𑂍𑂷 𑂠𑂷𑂢𑂷 𑂉𑂍 𑂃𑂡𑂹𑂨𑂰𑂣𑂍 𑂌𑂩 𑂉𑂍 𑂅𑂢𑂮𑂰𑂢 𑂍𑂵 𑂩𑂴𑂣 𑂧𑂵𑂁 𑂮𑂧𑂹𑂧𑂰𑂢 𑂧𑂱𑂪𑂰।
How long did it take you to translate this book,तुम्हे इस किताब का अनुवाद करने में कितना समय लगा?,𑂞𑂳𑂧𑂹𑂯𑂵 𑂅𑂮 𑂍𑂱𑂞𑂰𑂥 𑂍𑂰 𑂃𑂢𑂳𑂫𑂰𑂠 𑂍𑂩𑂢𑂵 𑂧𑂵𑂁 𑂍𑂱𑂞𑂢𑂰 𑂮𑂧𑂨 𑂪𑂏𑂰?
I became friends with him while I was in Taiwan,तैवान में रहते समय मेरी उससे दोस्ती हुई।,𑂞𑂶𑂫𑂰𑂢 𑂧𑂵𑂁 𑂩𑂯𑂞𑂵 𑂮𑂧𑂨 𑂧𑂵𑂩𑂲 𑂇𑂮𑂮𑂵 𑂠𑂷𑂮𑂹𑂞𑂲 𑂯𑂳𑂆।
I found it impossible to do the work in one day,मुझे एक दिन में काम खतम करना नामुमकिन लगा।,𑂧𑂳𑂕𑂵 𑂉𑂍 𑂠𑂱𑂢 𑂧𑂵𑂁 𑂍𑂰𑂧 𑂎𑂞𑂧 𑂍𑂩𑂢𑂰 𑂢𑂰𑂧𑂳𑂧𑂍𑂱𑂢 𑂪𑂏𑂰।
I have never come across such a stubborn person,इतने अड़ियल व्यक्ति से मेरी कभी भी मुलाकात नहीं हुई है।,𑂅𑂞𑂢𑂵 𑂃𑂙़𑂱𑂨𑂪 𑂫𑂹𑂨𑂍𑂹𑂞𑂱 𑂮𑂵 𑂧𑂵𑂩𑂲 𑂍𑂦𑂲 𑂦𑂲 𑂧𑂳𑂪𑂰𑂍𑂰𑂞 𑂢𑂯𑂲𑂁 𑂯𑂳𑂆 𑂯𑂶।
I have to learn many words and phrases by heart,मुझे बहुत सारे शब्दों और वाक्यांशों को रटना है।,𑂧𑂳𑂕𑂵 𑂥𑂯𑂳𑂞 𑂮𑂰𑂩𑂵 𑂬𑂥𑂹𑂠𑂷𑂁 𑂌𑂩 𑂫𑂰𑂍𑂹𑂨𑂰𑂁𑂬𑂷𑂁 𑂍𑂷 𑂩𑂗𑂢𑂰 𑂯𑂶।
I thought that he had already finished the work,मुझे लगा कि वह काम खतम कर चुका था।,𑂧𑂳𑂕𑂵 𑂪𑂏𑂰 𑂍𑂱 𑂫𑂯 𑂍𑂰𑂧 𑂎𑂞𑂧 𑂍𑂩 𑂒𑂳𑂍𑂰 𑂟𑂰।
I was ill at ease because I didn't speak French,मैं परेशान था क्योंकि मुझे फ़्रांसीसी बोलनी नहीं आती थी।,𑂧𑂶𑂁 𑂣𑂩𑂵𑂬𑂰𑂢 𑂟𑂰 𑂍𑂹𑂨𑂷𑂁𑂍𑂱 𑂧𑂳𑂕𑂵 𑂤़𑂹𑂩𑂰𑂁𑂮𑂲𑂮𑂲 𑂥𑂷𑂪𑂢𑂲 𑂢𑂯𑂲𑂁 𑂄𑂞𑂲 𑂟𑂲।
I was searching for something that didn't exist,मैं एक ऐसी चीज़ ढूँढ रहा था जिसका अस्तित्व कभी था ही नहीं।,𑂧𑂶𑂁 𑂉𑂍 𑂊𑂮𑂲 𑂒𑂲𑂔़ 𑂛𑂴𑂀𑂛 𑂩𑂯𑂰 𑂟𑂰 𑂔𑂱𑂮𑂍𑂰 𑂃𑂮𑂹𑂞𑂱𑂞𑂹𑂫 𑂍𑂦𑂲 𑂟𑂰 𑂯𑂲 𑂢𑂯𑂲𑂁।
I was surprised at the news of his sudden death,मैं उसकी अचानक मौत की खबर से चौंक गया।,𑂧𑂶𑂁 𑂇𑂮𑂍𑂲 𑂃𑂒𑂰𑂢𑂍 𑂧𑂸𑂞 𑂍𑂲 𑂎𑂥𑂩 𑂮𑂵 𑂒𑂸𑂁𑂍 𑂏𑂨𑂰।
It is necessary for you to go there immediately,तुम्हारे लिए वहाँ तुरन्त जाना अनिवार्य है।,𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂵 𑂪𑂱𑂉 𑂫𑂯𑂰𑂀 𑂞𑂳𑂩𑂢𑂹𑂞 𑂔𑂰𑂢𑂰 𑂃𑂢𑂱𑂫𑂰𑂩𑂹𑂨 𑂯𑂶।
It is necessary for you to see a doctor at once,तुम्हें जल्द-से-जल्द डॉक्टर के पास जाने की ज़रूरत है।,𑂞𑂳𑂧𑂹𑂯𑂵𑂁 𑂔𑂪𑂹𑂠-𑂮𑂵-𑂔𑂪𑂹𑂠 𑂙ॉ𑂍𑂹𑂗𑂩 𑂍𑂵 𑂣𑂰𑂮 𑂔𑂰𑂢𑂵 𑂍𑂲 𑂔़𑂩𑂴𑂩𑂞 𑂯𑂶।
It makes no difference whether you agree or not,"तुम मानो या न मानो, उससे कोई फ़र्क नहीं पड़ता।","𑂞𑂳𑂧 𑂧𑂰𑂢𑂷 𑂨𑂰 𑂢 𑂧𑂰𑂢𑂷, 𑂇𑂮𑂮𑂵 𑂍𑂷𑂆 𑂤़𑂩𑂹𑂍 𑂢𑂯𑂲𑂁 𑂣𑂙़𑂞𑂰।"
May I talk with you in private about the matter,मैं तुम्हारे साथ इस बारे में अकेले में बात कर सकता हूँ क्या?,𑂧𑂶𑂁 𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂵 𑂮𑂰𑂟 𑂅𑂮 𑂥𑂰𑂩𑂵 𑂧𑂵𑂁 𑂃𑂍𑂵𑂪𑂵 𑂧𑂵𑂁 𑂥𑂰𑂞 𑂍𑂩 𑂮𑂍𑂞𑂰 𑂯𑂴𑂀 𑂍𑂹𑂨𑂰?
"She had plenty of acquaintances, but no friends",उसकी जान-पहचान में तो बहुत लोग थे पर दोस्त कोई भी नहीं थे।,𑂇𑂮𑂍𑂲 𑂔𑂰𑂢-𑂣𑂯𑂒𑂰𑂢 𑂧𑂵𑂁 𑂞𑂷 𑂥𑂯𑂳𑂞 𑂪𑂷𑂏 𑂟𑂵 𑂣𑂩 𑂠𑂷𑂮𑂹𑂞 𑂍𑂷𑂆 𑂦𑂲 𑂢𑂯𑂲𑂁 𑂟𑂵।
The doctor told her that she should take a rest,डॉक्टर ने उससे कहा कि उसे आराम लेना चाहिए।,𑂙ॉ𑂍𑂹𑂗𑂩 𑂢𑂵 𑂇𑂮𑂮𑂵 𑂍𑂯𑂰 𑂍𑂱 𑂇𑂮𑂵 𑂄𑂩𑂰𑂧 𑂪𑂵𑂢𑂰 𑂒𑂰𑂯𑂱𑂉।
They are in favor of the reform of the tax laws,वे टैक्स सुधार क़ानून के पक्ष में हैं।,𑂫𑂵 𑂗𑂶𑂍𑂹𑂮 𑂮𑂳𑂡𑂰𑂩 𑂍़𑂰𑂢𑂴𑂢 𑂍𑂵 𑂣𑂍𑂹𑂭 𑂧𑂵𑂁 𑂯𑂶𑂁।
This elevator does not go above the sixth floor,यह लिफ़्ट छटी मंज़िल तक ही जाती है।,𑂨𑂯 𑂪𑂱𑂤़𑂹𑂗 𑂓𑂗𑂲 𑂧𑂁𑂔़𑂱𑂪 𑂞𑂍 𑂯𑂲 𑂔𑂰𑂞𑂲 𑂯𑂶।
This machine is superior in quality to that one,यह मशीन उस मशीन से बेहतर है।,𑂨𑂯 𑂧𑂬𑂲𑂢 𑂇𑂮 𑂧𑂬𑂲𑂢 𑂮𑂵 𑂥𑂵𑂯𑂞𑂩 𑂯𑂶।
Tom had fifty dollars in his pocket at the time,टॉम की जेब में उस समय पचास डॉलर थें।,𑂗ॉ𑂧 𑂍𑂲 𑂔𑂵𑂥 𑂧𑂵𑂁 𑂇𑂮 𑂮𑂧𑂨 𑂣𑂒𑂰𑂮 𑂙ॉ𑂪𑂩 𑂟𑂵𑂁।
Tomorrow is my birthday and I will be seventeen,"कल मेरा जन्मदिन है, और मैं सत्रह साल का हो जाऊँगा।","𑂍𑂪 𑂧𑂵𑂩𑂰 𑂔𑂢𑂹𑂧𑂠𑂱𑂢 𑂯𑂶, 𑂌𑂩 𑂧𑂶𑂁 𑂮𑂞𑂹𑂩𑂯 𑂮𑂰𑂪 𑂍𑂰 𑂯𑂷 𑂔𑂰𑂈𑂀𑂏𑂰।"
Tomorrow is my birthday and I will be seventeen,"कल मेरा जन्मदिन है, और मैं सत्रह साल की हो जाऊँगी।","𑂍𑂪 𑂧𑂵𑂩𑂰 𑂔𑂢𑂹𑂧𑂠𑂱𑂢 𑂯𑂶, 𑂌𑂩 𑂧𑂶𑂁 𑂮𑂞𑂹𑂩𑂯 𑂮𑂰𑂪 𑂍𑂲 𑂯𑂷 𑂔𑂰𑂈𑂀𑂏𑂲।"
"When she was reading the letter, she looked sad",वह चिट्ठी पढ़ने के समय दुखी लग रही थी।,𑂫𑂯 𑂒𑂱𑂗𑂹𑂘𑂲 𑂣𑂛़𑂢𑂵 𑂍𑂵 𑂮𑂧𑂨 𑂠𑂳𑂎𑂲 𑂪𑂏 𑂩𑂯𑂲 𑂟𑂲।
Why do you think soccer isn't popular in the US,तुम्हारे खयाल से अम्रीका में फ़ुटबॉल लोकप्रिय क्यों नहीं है?,𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂵 𑂎𑂨𑂰𑂪 𑂮𑂵 𑂃𑂧𑂹𑂩𑂲𑂍𑂰 𑂧𑂵𑂁 𑂤़𑂳𑂗𑂥ॉ𑂪 𑂪𑂷𑂍𑂣𑂹𑂩𑂱𑂨 𑂍𑂹𑂨𑂷𑂁 𑂢𑂯𑂲𑂁 𑂯𑂶?
Will you exchange this sweater for a larger one,आप यह स्वेटर बड़े नाप वाले के लिए बदल देंगे क्या?,𑂄𑂣 𑂨𑂯 𑂮𑂹𑂫𑂵𑂗𑂩 𑂥𑂙़𑂵 𑂢𑂰𑂣 𑂫𑂰𑂪𑂵 𑂍𑂵 𑂪𑂱𑂉 𑂥𑂠𑂪 𑂠𑂵𑂁𑂏𑂵 𑂍𑂹𑂨𑂰?
Write back to me as soon as you get this letter,तुम्हें जैसे ही यह पत्र मिले मुझे लिखकर जवाब देना।,𑂞𑂳𑂧𑂹𑂯𑂵𑂁 𑂔𑂶𑂮𑂵 𑂯𑂲 𑂨𑂯 𑂣𑂞𑂹𑂩 𑂧𑂱𑂪𑂵 𑂧𑂳𑂕𑂵 𑂪𑂱𑂎𑂍𑂩 𑂔𑂫𑂰𑂥 𑂠𑂵𑂢𑂰।
Do you think we should import rice from the US,क्या आपको लगता है कि हमे अम्रीका से चावल का आयात करना चाहिए?,𑂍𑂹𑂨𑂰 𑂄𑂣𑂍𑂷 𑂪𑂏𑂞𑂰 𑂯𑂶 𑂍𑂱 𑂯𑂧𑂵 𑂃𑂧𑂹𑂩𑂲𑂍𑂰 𑂮𑂵 𑂒𑂰𑂫𑂪 𑂍𑂰 𑂄𑂨𑂰𑂞 𑂍𑂩𑂢𑂰 𑂒𑂰𑂯𑂱𑂉?
He contracted malaria while living in the jungle,जंगल में रहते समय उसे मलेरिया हो गया।,𑂔𑂁𑂏𑂪 𑂧𑂵𑂁 𑂩𑂯𑂞𑂵 𑂮𑂧𑂨 𑂇𑂮𑂵 𑂧𑂪𑂵𑂩𑂱𑂨𑂰 𑂯𑂷 𑂏𑂨𑂰।
He left all his property to his wife in his will,उसने वसीयत में अपनी पत्नी को सारी जायदाद छोड़ दी।,𑂇𑂮𑂢𑂵 𑂫𑂮𑂲𑂨𑂞 𑂧𑂵𑂁 𑂃𑂣𑂢𑂲 𑂣𑂞𑂹𑂢𑂲 𑂍𑂷 𑂮𑂰𑂩𑂲 𑂔𑂰𑂨𑂠𑂰𑂠 𑂓𑂷𑂙़ 𑂠𑂲।
He made such a long speech that we all got bored,उसने इतना लम्बा भाषण दिया कि हम सब को बोर कर डाला।,𑂇𑂮𑂢𑂵 𑂅𑂞𑂢𑂰 𑂪𑂧𑂹𑂥𑂰 𑂦𑂰𑂭𑂝 𑂠𑂱𑂨𑂰 𑂍𑂱 𑂯𑂧 𑂮𑂥 𑂍𑂷 𑂥𑂷𑂩 𑂍𑂩 𑂙𑂰𑂪𑂰।
I am of the opinion that he will never come back,मेरे ख़याल से वह कभी भी वापस नहीं आएगा।,𑂧𑂵𑂩𑂵 𑂎़𑂨𑂰𑂪 𑂮𑂵 𑂫𑂯 𑂍𑂦𑂲 𑂦𑂲 𑂫𑂰𑂣𑂮 𑂢𑂯𑂲𑂁 𑂄𑂉𑂏𑂰।
"I slept all day yesterday, because it was Sunday","कल रविवार था, तो मैं पूरे दिन सोते रहा।","𑂍𑂪 𑂩𑂫𑂱𑂫𑂰𑂩 𑂟𑂰, 𑂞𑂷 𑂧𑂶𑂁 𑂣𑂴𑂩𑂵 𑂠𑂱𑂢 𑂮𑂷𑂞𑂵 𑂩𑂯𑂰।"
I will tell him about it when he comes next time,"जब वह अगली बार आएगा, मैं उसे इसके बारे में बाताऊँगा।","𑂔𑂥 𑂫𑂯 𑂃𑂏𑂪𑂲 𑂥𑂰𑂩 𑂄𑂉𑂏𑂰, 𑂧𑂶𑂁 𑂇𑂮𑂵 𑂅𑂮𑂍𑂵 𑂥𑂰𑂩𑂵 𑂧𑂵𑂁 𑂥𑂰𑂞𑂰𑂈𑂀𑂏𑂰।"
I will tell him about it when he comes next time,"जब वह अगली बार आएगा, मैं उसे इसके बारे में बाताऊँगी।","𑂔𑂥 𑂫𑂯 𑂃𑂏𑂪𑂲 𑂥𑂰𑂩 𑂄𑂉𑂏𑂰, 𑂧𑂶𑂁 𑂇𑂮𑂵 𑂅𑂮𑂍𑂵 𑂥𑂰𑂩𑂵 𑂧𑂵𑂁 𑂥𑂰𑂞𑂰𑂈𑂀𑂏𑂲।"
"If possible, I'd like to travel around the world",अगर हो सके तो मैं विष्व यात्रा पर जाना चाहूँगा।,𑂃𑂏𑂩 𑂯𑂷 𑂮𑂍𑂵 𑂞𑂷 𑂧𑂶𑂁 𑂫𑂱𑂭𑂹𑂫 𑂨𑂰𑂞𑂹𑂩𑂰 𑂣𑂩 𑂔𑂰𑂢𑂰 𑂒𑂰𑂯𑂴𑂀𑂏𑂰।
"If the coffee is too strong, add some more water",अगर कॉफ़ी ज़्यादा कड़वी है तो थोड़ा और पानी डाललो।,𑂃𑂏𑂩 𑂍ॉ𑂤़𑂲 𑂔़𑂹𑂨𑂰𑂠𑂰 𑂍𑂙़𑂫𑂲 𑂯𑂶 𑂞𑂷 𑂟𑂷𑂙़𑂰 𑂌𑂩 𑂣𑂰𑂢𑂲 𑂙𑂰𑂪𑂪𑂷।
London is one of the largest cities in the world,लंदन दुनिया के सबसे बड़े शहरों में से एक है।,𑂪𑂁𑂠𑂢 𑂠𑂳𑂢𑂱𑂨𑂰 𑂍𑂵 𑂮𑂥𑂮𑂵 𑂥𑂙़𑂵 𑂬𑂯𑂩𑂷𑂁 𑂧𑂵𑂁 𑂮𑂵 𑂉𑂍 𑂯𑂶।
"London, the capital of England, is on the Thames",इंग्लैंड की राजधानी लंदन थेम्स नदी के किनारे है।,𑂅𑂁𑂏𑂹𑂪𑂶𑂁𑂙 𑂍𑂲 𑂩𑂰𑂔𑂡𑂰𑂢𑂲 𑂪𑂁𑂠𑂢 𑂟𑂵𑂧𑂹𑂮 𑂢𑂠𑂲 𑂍𑂵 𑂍𑂱𑂢𑂰𑂩𑂵 𑂯𑂶।
The money should be distributed to those in need,यह पैसा ज़रूरतमंदों में बाँट देना चाहिए।,𑂨𑂯 𑂣𑂶𑂮𑂰 𑂔़𑂩𑂴𑂩𑂞𑂧𑂁𑂠𑂷𑂁 𑂧𑂵𑂁 𑂥𑂰𑂀𑂗 𑂠𑂵𑂢𑂰 𑂒𑂰𑂯𑂱𑂉।
There is no hurry about returning the book to me,मुझे वह किताब लौटाने में जल्द-बाज़ी करने की ज़रूरत नहीं है।,𑂧𑂳𑂕𑂵 𑂫𑂯 𑂍𑂱𑂞𑂰𑂥 𑂪𑂸𑂗𑂰𑂢𑂵 𑂧𑂵𑂁 𑂔𑂪𑂹𑂠-𑂥𑂰𑂔़𑂲 𑂍𑂩𑂢𑂵 𑂍𑂲 𑂔़𑂩𑂴𑂩𑂞 𑂢𑂯𑂲𑂁 𑂯𑂶।
There weren't any children in the park yesterday,कल पार्क में एक भी बच्चा नहीं था।,𑂍𑂪 𑂣𑂰𑂩𑂹𑂍 𑂧𑂵𑂁 𑂉𑂍 𑂦𑂲 𑂥𑂒𑂹𑂒𑂰 𑂢𑂯𑂲𑂁 𑂟𑂰।
They wanted to get married as soon as they could,वे जल्द-से-जल्द शादी करना चाहते थे।,𑂫𑂵 𑂔𑂪𑂹𑂠-𑂮𑂵-𑂔𑂪𑂹𑂠 𑂬𑂰𑂠𑂲 𑂍𑂩𑂢𑂰 𑂒𑂰𑂯𑂞𑂵 𑂟𑂵।
They won't believe me even if I swear it is true,वे मेरा विश्वास नहीं करेंगे चाहे मैं कसम भी क्यों न खालूँ।,𑂫𑂵 𑂧𑂵𑂩𑂰 𑂫𑂱𑂬𑂹𑂫𑂰𑂮 𑂢𑂯𑂲𑂁 𑂍𑂩𑂵𑂁𑂏𑂵 𑂒𑂰𑂯𑂵 𑂧𑂶𑂁 𑂍𑂮𑂧 𑂦𑂲 𑂍𑂹𑂨𑂷𑂁 𑂢 𑂎𑂰𑂪𑂴𑂀।
We cannot decide whether to go to college or not,हम यह फ़ैसला नहीं ले पा रहें हैं कि कॉलेज जाएं या न जाएं।,𑂯𑂧 𑂨𑂯 𑂤़𑂶𑂮𑂪𑂰 𑂢𑂯𑂲𑂁 𑂪𑂵 𑂣𑂰 𑂩𑂯𑂵𑂁 𑂯𑂶𑂁 𑂍𑂱 𑂍ॉ𑂪𑂵𑂔 𑂔𑂰𑂉𑂁 𑂨𑂰 𑂢 𑂔𑂰𑂉𑂁।
You have the freedom to travel wherever you like,तुम्हारे पास जहाँ भी जाने की मर्ज़ी हो वहाँ जाने की आज़ादी है।,𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂵 𑂣𑂰𑂮 𑂔𑂯𑂰𑂀 𑂦𑂲 𑂔𑂰𑂢𑂵 𑂍𑂲 𑂧𑂩𑂹𑂔़𑂲 𑂯𑂷 𑂫𑂯𑂰𑂀 𑂔𑂰𑂢𑂵 𑂍𑂲 𑂄𑂔़𑂰𑂠𑂲 𑂯𑂶।
Father objected to my going to the mountain alone,पिताजी मेरे पहाड़ पर अकेले जाने से राज़ी नहीं थे।,𑂣𑂱𑂞𑂰𑂔𑂲 𑂧𑂵𑂩𑂵 𑂣𑂯𑂰𑂙़ 𑂣𑂩 𑂃𑂍𑂵𑂪𑂵 𑂔𑂰𑂢𑂵 𑂮𑂵 𑂩𑂰𑂔़𑂲 𑂢𑂯𑂲𑂁 𑂟𑂵।
